year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2012,T,3D9.1C2D34C08C,SR_Sthd,2010,1,0,0,1,1,0,0,1
2005,T,3D9.1BF1BF3F9C,SR_Sthd,2003,1,0,0,1,1,0,0,1
2011,,3D9.1C2D078CF3,SR_Sthd,2009,1,0,0,1,1,0,0,0
2024,T,3DD.003DA167EC,SR_Sthd,2022,1,0,1,1,1,0,0,0
2012,T,3D9.1C2D7E05F6,SR_Sthd,2010,1,0,0,1,1,0,0,1
2011,T,3D9.1C2CE59B02,SR_Sthd,2009,1,0,0,1,1,0,0,1
2020,T,3DD.0077B90590,SR_Sthd,2018,1,1,1,1,1,1,1,1
2012,T,3D9.1C2C300176,SR_Sthd,2009,1,0,0,0,1,0,0,1
2009,,3D9.1C2C3C2220,SR_Sthd,2007,1,0,0,0,0,0,0,0
2010,,3D9.1C2C33AB6F,SR_Sthd,2007,1,0,0,1,1,0,0,1
2022,,3DD.003D3C7884,SR_Sthd,2020,1,1,1,1,1,1,1,1
2003,T,3D9.1BF123FAB8,SR_Sthd,2001,1,0,0,1,1,0,0,1
2015,T,3D9.1BF27792E4,SR_Sthd,2013,1,0,0,0,0,0,0,0
2015,T,3D9.1BF26828C8,SR_Sthd,2013,1,1,0,0,0,0,0,0
2002,,3D9.1BF109CFFA,SR_Sthd,2000,1,0,0,1,0,0,0,1
2011,T,3D9.1BF27A1799,SR_Sthd,2009,1,0,0,1,1,0,0,1
2020,,3D9.1C2E030E19,SR_Sthd,2016,1,1,1,1,1,1,1,1
2009,T,3D9.1BF25E4DBB,SR_Sthd,2007,1,0,0,1,1,0,0,0
2011,T,3D9.1BF27B952F,SR_Sthd,2009,1,0,0,1,1,0,0,1
2020,T,3DD.0077807498,SR_Sthd,2018,1,1,1,1,1,1,1,1
2020,T,3DD.007770C189,SR_Sthd,2018,1,0,0,0,0,0,0,0
2003,T,3D9.1BF11B1A86,SR_Sthd,2001,1,0,0,0,0,0,0,0
2018,,3DD.007787D23E,SR_Sthd,2016,1,1,1,1,1,1,1,1
2013,,3D9.1C2C4D1706,SR_Sthd,2011,1,1,0,1,1,0,0,1
2018,,3DD.003BDE5236,SR_Sthd,2016,1,0,0,0,0,0,0,0
2014,T,3D9.1C2D7314BE,SR_Sthd,2012,1,1,0,1,1,1,1,1
2004,T,3D9.1BF0DC6186,SR_Sthd,2002,1,0,0,1,1,0,0,1
2013,T,3D9.1C2DCF3483,SR_Sthd,2011,1,0,0,0,0,0,0,0
2020,T,3D9.1C2CEE5E28,SR_Sthd,2018,1,0,0,0,0,0,0,0
2010,T,3D9.1BF27A4ACF,SR_Sthd,2008,1,0,0,1,1,0,0,1
2002,T,3D9.1BF1098F66,SR_Sthd,2000,1,0,0,0,0,0,0,0
2002,T,3D9.1BF0E4ABE7,SR_Sthd,2000,1,0,0,1,0,0,0,1
2002,T,3D9.1BF0FB4983,SR_Sthd,2000,1,0,0,0,0,0,0,0
2011,T,3D9.1C2CA97D7A,SR_Sthd,2009,1,0,0,1,1,0,0,1
2016,T,384.3B23AD0C3D,SR_Sthd,2014,1,1,0,1,1,1,1,1
2012,,3D9.1C2D0915E6,SR_Sthd,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1BF27B8CE6,SR_Sthd,2009,1,0,0,0,0,0,0,0
2014,,3D9.1C2D797D5D,SR_Sthd,2012,1,1,0,1,0,0,0,0
2010,,3D9.1BF26B85B5,SR_Sthd,2007,1,0,0,1,1,0,0,1
2022,,3DD.003D3C7EEA,SR_Sthd,2020,1,1,1,1,1,1,1,1
2016,,3DD.007740C7DD,SR_Sthd,2014,1,1,0,1,1,1,1,1
2008,T,3D9.1BF23E4C7A,SR_Sthd,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF2786D14,SR_Sthd,2007,1,0,0,1,1,0,0,1
2002,T,3D9.1BF0E6A0A8,SR_Sthd,2000,1,0,0,0,0,0,0,0
2014,,3D9.1C2DDBEA51,SR_Sthd,2012,1,1,0,1,1,1,1,1
2004,T,3D9.1BF1689138,SR_Sthd,2002,1,0,0,1,1,0,0,1
2002,,3D9.1BF10772F2,SR_Sthd,2000,1,0,0,1,0,0,0,1
2022,,3DD.003D6B3574,SR_Sthd,2020,1,1,1,1,1,1,1,1
2022,,3DD.003D6B19FC,SR_Sthd,2020,1,1,1,1,1,1,1,1
2004,T,3D9.1BF17A444D,SR_Sthd,2002,1,0,0,1,1,0,0,1
2004,,3D9.1BF1081406,SR_Sthd,2000,1,0,0,0,0,0,0,0
2024,,3DD.003D7F8324,SR_Sthd,2022,1,1,1,1,1,1,1,1
2002,T,3D9.1BF0E3488A,SR_Sthd,2000,1,0,0,1,0,0,0,1
2016,,3DD.00773E04AC,SR_Sthd,2014,1,1,0,1,1,0,0,0
2016,T,384.3B23A1CBE6,SR_Sthd,2014,1,1,0,1,1,1,1,1
2024,,3DD.003D7C0018,SR_Sthd,2022,1,1,1,1,1,1,1,1
2010,,3D9.1C2C89F2ED,SR_Sthd,2008,1,0,0,1,1,0,0,1
2002,T,3D9.1BF0EAF8FD,SR_Sthd,2000,1,0,0,1,0,0,0,0
2014,T,3D9.1C2DD96002,SR_Sthd,2012,1,1,0,1,1,1,1,1
2011,T,3D9.1BF279EE47,SR_Sthd,2009,1,0,0,1,1,0,0,1
2017,,3DD.007757903E,SR_Sthd,2014,1,0,0,0,0,0,0,0
2016,T,3DD.0077400AD6,SR_Sthd,2014,1,1,0,1,1,1,1,1
2002,T,3D9.1BF0E5381E,SR_Sthd,2000,1,0,0,1,0,0,0,1
2016,,3DD.00774B32B3,SR_Sthd,2014,1,1,0,1,1,1,1,1
2010,T,3D9.1BF27AA43F,SR_Sthd,2008,1,0,0,0,0,0,0,0
2015,,3D9.1C2E0A117C,SR_Sthd,2013,1,1,0,1,1,1,1,1
2014,,3D9.1C2DBCEA40,SR_Sthd,2012,1,1,0,1,1,1,1,1
2011,,3D9.1C2C89F1FD,SR_Sthd,2008,1,0,0,1,1,0,0,1
2004,,3D9.1BF11DFCF9,SR_Sthd,2002,1,0,0,1,1,0,0,1
2010,,3D9.1C2C9895AD,SR_Sthd,2008,1,0,0,1,1,0,0,1
2009,,3D9.1BF2605967,SR_Sthd,2007,1,0,0,0,0,0,0,0
2016,,3DD.00774AC23A,SR_Sthd,2014,1,0,0,0,0,0,0,0
2021,T,3DD.003C02A2AA,SR_Sthd,2019,1,1,0,0,0,0,0,0
2012,T,3D9.1C2D6208F0,SR_Sthd,2010,1,0,0,1,1,0,0,1
2020,T,3D9.1BF2791B51,SR_Sthd,2018,1,1,1,1,1,1,1,1
2016,T,384.3B23AB335F,SR_Sthd,2014,1,1,0,1,1,1,1,1
2020,T,3DD.0077388B97,SR_Sthd,2017,1,0,1,1,0,0,0,0
2010,,3D9.1C2C8D9036,SR_Sthd,2008,1,0,0,1,1,0,0,1
2014,,3D9.1BF2808A7B,SR_Sthd,2012,1,1,0,1,1,1,1,1
2012,T,3D9.1BF276F3FB,SR_Sthd,2010,1,0,0,1,1,0,0,1
2022,,3DD.003D6B3AC3,SR_Sthd,2020,1,0,0,0,0,0,0,0
2013,,3D9.1C2D86E8D7,SR_Sthd,2010,1,1,0,1,1,1,0,1
2013,,3D9.1C2D8D2E2F,SR_Sthd,2011,1,1,0,1,1,0,0,1
2018,,3DD.003BDE6AAD,SR_Sthd,2016,1,1,1,1,1,1,1,1
2011,T,3D9.1C2C96A96A,SR_Sthd,2009,1,0,0,1,1,0,0,1
2014,,3D9.1C2D039555,SR_Sthd,2012,1,1,0,1,1,1,1,0
2004,T,3D9.1BF11CE489,SR_Sthd,2002,1,0,0,1,1,0,0,1
2002,T,3D9.1BF107EE7C,SR_Sthd,2000,1,0,0,1,0,0,0,1
2016,,384.3B2399A9F9,SR_Sthd,2014,1,0,0,0,0,0,0,0
2011,,3D9.1C2C5788D5,SR_Sthd,2009,1,0,0,1,1,0,0,1
2002,T,3D9.1BF107A77B,SR_Sthd,2000,1,0,0,1,0,0,0,1
2012,T,3D9.1C2CFC9D26,SR_Sthd,2010,1,0,0,0,0,0,0,0
2020,T,3DD.0077899571,SR_Sthd,2016,1,0,0,0,0,0,0,0
2015,,3D9.1C2E015D33,SR_Sthd,2013,1,1,0,1,1,1,1,1
2015,T,3D9.1C2E09339F,SR_Sthd,2013,1,0,0,0,0,0,0,0
2021,,3DD.003BF7811F,SR_Sthd,2017,1,1,1,1,1,1,0,0
2011,,3D9.1C2CE331B5,SR_Sthd,2009,1,0,0,0,1,0,0,1
2004,T,3D9.1BF0DC65F0,SR_Sthd,2002,1,0,0,1,1,0,0,1
2020,T,3DD.003C025AB4,SR_Sthd,2018,1,1,1,1,1,1,1,1
2011,,3D9.1C2C5538CA,SR_Sthd,2009,1,0,0,1,1,0,0,1
2011,T,3D9.1BF278BB60,SR_Sthd,2009,1,0,0,0,0,0,0,0
2015,,3D9.1C2DEABAAA,SR_Sthd,2013,1,1,0,1,1,1,1,1
2024,,3DD.003D96084D,SR_Sthd,2022,1,1,1,0,1,1,1,1
2013,,3D9.1C2DAFE868,SR_Sthd,2011,1,1,0,1,1,0,0,1
2010,,3D9.1C2C4D6789,SR_Sthd,2008,1,0,0,1,1,0,0,1
2002,,3D9.1BF0DEFE3D,SR_Sthd,2000,1,0,0,1,0,0,0,1
2017,T,3DD.007742F822,SR_Sthd,2015,1,1,0,1,1,1,1,1
2014,T,3D9.1BF2725A1A,SR_Sthd,2012,1,0,0,0,0,0,0,0
2010,,3D9.1C2C4B8353,SR_Sthd,2008,1,0,0,0,0,0,0,0
2014,,3D9.1BF280B9D4,SR_Sthd,2012,1,1,0,0,0,0,0,0
2012,,3D9.1C2D68295D,SR_Sthd,2010,1,0,0,1,1,0,0,1
2012,,3D9.1C2D87D800,SR_Sthd,2010,1,0,0,1,1,0,0,1
2009,,3D9.1C2C3B2B6A,SR_Sthd,2007,1,0,0,0,0,0,0,0
2020,T,3D9.1C2CCC839C,SR_Sthd,2018,1,1,0,0,0,0,0,0
2010,T,3D9.1C2C8E9A33,SR_Sthd,2008,1,0,0,1,1,0,0,1
2015,,3D9.1C2E05C9FD,SR_Sthd,2013,1,1,0,1,1,1,1,1
2002,,3D9.1BF1097546,SR_Sthd,2000,1,0,0,1,0,0,0,1
2014,T,3D9.1C2DD3DA27,SR_Sthd,2012,1,1,0,1,1,1,1,1
2024,T,3DD.003D962A8A,SR_Sthd,2022,1,0,0,0,0,0,0,0
2002,,3D9.1BF0E486A9,SR_Sthd,2000,1,0,0,1,0,0,0,1
2005,,3D9.1BF1BE3CE9,SR_Sthd,2003,1,0,0,1,1,0,0,1
2010,T,3D9.1BF2777243,SR_Sthd,2008,1,0,0,1,1,0,0,1
2002,,3D9.1BF0E8CE4E,SR_Sthd,2000,1,0,0,1,0,0,0,1
2021,,3DD.0077C12436,SR_Sthd,2019,1,1,1,1,1,1,1,1
2011,T,3D9.1BF27ACBE0,SR_Sthd,2009,1,0,0,1,1,0,0,1
2010,T,3D9.1C2C54890D,SR_Sthd,2008,1,0,0,0,0,0,0,0
2009,,3D9.1BF27DB5F2,SR_Sthd,2007,1,0,0,1,0,0,0,0
2002,T,3D9.1BF0DDC78D,SR_Sthd,2000,1,0,0,1,0,0,0,1
2015,,3D9.1C2DD9D3A4,SR_Sthd,2013,1,1,0,1,1,1,1,1
2024,T,3DD.003E11D9BF,SR_Sthd,2022,1,1,0,0,0,0,0,0
2020,T,3DD.0077AE2F18,SR_Sthd,2018,1,1,1,0,0,0,0,0
2022,,3DD.0077BD610B,SR_Sthd,2020,1,0,1,1,1,1,1,1
2012,,3D9.1C2D67E93D,SR_Sthd,2010,1,0,0,1,1,0,0,1
2010,T,3D9.1BF1C7400A,SR_Sthd,2007,1,0,0,1,1,0,0,1
2010,T,3D9.1BF26EF2C6,SR_Sthd,2008,1,0,0,1,1,0,0,0
2010,,3D9.1C2CCC7B85,SR_Sthd,2008,1,0,0,1,1,0,0,1
2010,,3D9.257C5A1179,SR_Sthd,2008,1,0,0,1,1,0,0,1
2023,,3DD.003D94E5E3,SR_Sthd,2021,1,1,0,0,0,0,0,0
2015,,384.3B2395114F,SR_Sthd,2013,1,1,0,1,1,1,1,1
