year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2022,,3DD.0077827DE2,SR_Ch3,2018,1,1,1,1,1,1,1,1
2008,,3D9.1BF24D6B74,SR_Ch3,2006,1,0,0,1,1,0,0,1
2010,T,3D9.1C2C56F2EF,SR_Ch3,2008,1,0,0,0,0,0,0,0
2024,,3DD.003D96BC76,SR_Ch3,2022,1,1,1,1,1,1,1,1
2013,T,3D9.1C2DA94731,SR_Ch3,2011,1,1,0,1,1,0,0,1
2013,,3D9.1C2D95E947,SR_Ch3,2011,1,1,0,0,0,0,0,0
2015,T,3D9.1C2DD63B6B,SR_Ch3,2012,1,1,0,0,0,0,0,0
2012,,3D9.1C2D00BA81,SR_Ch3,2010,1,0,0,1,1,0,0,1
2014,,3D9.1C2DD728C3,SR_Ch3,2012,1,1,0,1,1,1,1,1
2008,,3D9.1BF1650FE5,SR_Ch3,2006,1,0,0,1,1,0,0,1
2008,,3D9.1BF26DC7B4,SR_Ch3,2006,1,0,0,1,1,0,0,1
2011,,3D9.1C2D01666E,SR_Ch3,2009,1,0,0,1,1,0,0,1
2012,,3D9.1C2D4B34B3,SR_Ch3,2010,1,0,0,1,1,0,0,1
2017,,3DD.0077517C1C,SR_Ch3,2015,1,1,0,1,1,1,1,1
2010,,3D9.1C2CC75211,SR_Ch3,2008,1,0,0,1,1,0,0,1
2012,T,3D9.1C2D508995,SR_Ch3,2010,1,0,0,1,1,0,0,1
2010,,3D9.1C2CC8A56D,SR_Ch3,2008,1,0,0,1,1,0,0,1
2020,,3DD.0077B0E9F2,SR_Ch3,2017,1,1,1,1,1,1,1,1
2023,,3DD.0077D61843,SR_Ch3,2020,1,1,1,1,1,1,1,1
2011,,3D9.1C2CC6BF79,SR_Ch3,2008,1,0,0,0,0,0,0,0
2012,,3D9.1C2D5DE59E,SR_Ch3,2010,1,0,0,1,1,0,0,1
2021,T,3D9.1C2C620106,SR_Ch3,2019,1,1,1,1,1,1,1,1
2015,,3D9.1C2DD100A4,SR_Ch3,2012,1,1,0,1,1,1,1,1
2013,,3D9.1C2D945E47,SR_Ch3,2011,1,1,0,0,0,0,0,0
2013,,3D9.1C2D940036,SR_Ch3,2011,1,1,0,1,1,0,0,1
2014,,3D9.1C2D994FED,SR_Ch3,2011,1,1,0,0,0,0,0,0
2012,,3D9.1C2D718680,SR_Ch3,2010,1,0,0,1,0,0,0,0
2010,T,3D9.1C2CC4CA78,SR_Ch3,2008,1,0,0,1,1,0,0,1
2008,,3D9.1BF23BBF3A,SR_Ch3,2006,1,0,0,1,1,0,0,1
2014,,3D9.1C2D951198,SR_Ch3,2011,1,1,0,1,1,1,1,1
2013,,3D9.1C2D93F644,SR_Ch3,2011,1,1,0,0,0,0,0,0
2010,T,3D9.1C2CD8FBE8,SR_Ch3,2008,1,0,0,1,1,0,0,1
2012,,3D9.1C2C83DD15,SR_Ch3,2010,1,0,0,1,1,0,0,1
2012,T,3D9.1C2D5D5244,SR_Ch3,2010,1,0,0,1,1,0,0,1
2010,,3D9.1C2C5491BC,SR_Ch3,2008,1,0,0,1,1,0,0,1
2016,,3D9.1C2DF62BD6,SR_Ch3,2013,1,1,0,1,1,1,1,0
2008,,3D9.1BF24C3C65,SR_Ch3,2006,1,0,0,1,1,0,0,1
2010,,3D9.1C2CD335C8,SR_Ch3,2008,1,0,0,1,1,0,0,1
2014,,3D9.1C2DA71032,SR_Ch3,2011,1,1,0,0,0,0,0,0
2010,T,3D9.1C2C58F5C9,SR_Ch3,2008,1,0,0,0,0,0,0,0
2014,,3D9.1C2DD2B64B,SR_Ch3,2012,1,0,0,0,0,0,0,0
2013,,3D9.1C2D5017C5,SR_Ch3,2010,1,1,0,1,1,0,0,1
2015,,3D9.1C2DEDE7D9,SR_Ch3,2012,1,1,0,1,1,1,1,1
2020,T,3DD.0077C883A0,SR_Ch3,2018,1,1,1,1,1,1,1,1
2014,,3D9.1C2DD71FEA,SR_Ch3,2012,1,1,0,1,1,1,1,1
2007,,3D9.1BF240D47B,SR_Ch3,2005,1,0,0,1,1,0,0,1
2014,,3D9.1C2D4902A3,SR_Ch3,2012,1,1,0,0,0,0,0,0
2016,T,3D9.1C2DED64A8,SR_Ch3,2012,1,1,0,1,1,1,1,1
2013,,3D9.1C2D0A3C1D,SR_Ch3,2010,1,1,0,1,1,0,0,1
2022,,3DD.003D49EADA,SR_Ch3,2020,1,0,0,0,0,0,0,0
2023,,3DD.003D4A063B,SR_Ch3,2020,1,1,1,1,1,1,1,1
2014,T,3D9.1C2DC60C63,SR_Ch3,2011,1,1,0,1,1,1,1,1
2014,T,3D9.1C2DA896C4,SR_Ch3,2011,1,1,0,1,1,1,1,1
2013,,3D9.1C2D4FCCA0,SR_Ch3,2011,1,1,0,1,1,0,0,1
2013,,3D9.1C2DA54E98,SR_Ch3,2011,1,1,0,1,1,0,0,1
2011,,3D9.1C2C654F80,SR_Ch3,2008,1,0,0,0,0,0,0,0
2012,,3D9.1C2D5328E7,SR_Ch3,2010,1,0,0,1,1,0,0,1
2014,,3D9.1C2DE08D3A,SR_Ch3,2012,1,1,0,1,1,1,1,1
2020,,3DD.0077B26921,SR_Ch3,2017,1,1,1,1,1,1,1,1
2013,,3D9.1C2D514B0D,SR_Ch3,2010,1,1,0,0,0,0,0,0
2016,,3D9.1C2DEE12A7,SR_Ch3,2012,1,1,0,0,0,0,0,0
2016,,3D9.1C2DD0BFA3,SR_Ch3,2012,1,1,0,0,0,0,0,0
2019,,3DD.0077785AA1,SR_Ch3,2017,1,1,1,1,1,1,1,1
2015,T,3D9.1C2DE6ED6A,SR_Ch3,2012,1,1,0,1,1,1,1,1
2013,,3D9.1C2D951993,SR_Ch3,2011,1,0,0,0,0,0,0,0
2014,,3D9.1C2D92ADA6,SR_Ch3,2011,1,1,0,1,1,1,1,0
2012,,3D9.1C2D6325DE,SR_Ch3,2010,1,0,0,1,1,0,0,1
2013,,3D9.1C2D931689,SR_Ch3,2011,1,1,0,1,1,0,0,1
