year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn
2011,,3D9.1C2CDA907E,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CE1A793,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CC5F48F,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1C2CBAF66A,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CB26FDE,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CA9727A,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1C2CB26745,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CC5830C,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CE6C1BC,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1C2CE37A74,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CE6ED3C,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1C2C6CA449,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CE61232,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CE23035,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2C675707,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1C2CEBE04D,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2C678B9D,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CE1CDB0,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CDC5260,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CC61165,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1BF18AB827,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1C2CE2758A,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CC9328B,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CEB1E60,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1C2CC5845D,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2CC55935,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2C9824D2,MC_Sthd_abvMCN,2009,1,0,0,0
2011,,3D9.1C2CC7DADC,MC_Sthd_abvMCN,2009,1,0,0,1
2011,,3D9.1C2C51A64A,MC_Sthd_abvMCN,2009,1,0,0,0
