year,transported,tag_id,population,release_rkm,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2009,T,3D9.1BF2627CF9 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF231E6F3 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,0,0,0,0
2009,T,3D9.1BF24376E3 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF2526720 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF231CE63 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF244FD04 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF2436A8D ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF23AAE9A ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF231CE47 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF239AB86 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF2624AB1 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF231CECB ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF2436C41 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF231F061 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF26268FB ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF231C434 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF22ECA76 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF2368463 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF231F647 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,0,0,0,0
2009,T,3D9.1BF23AC582 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,1,0,0,1
2009,T,3D9.1BF231D475 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF2328E88 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
