year,age,transported,tag_id,population,release_rkm,migration_year,bon,tda,jda,mcn
2009,3,,3D9.257C5CA3A7 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5FB85B ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5CDE8B ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5FAFF3 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C657A0C ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5CC99B ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FCCDA ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C614DE0 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C6154F5 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B6CFD ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C6579DF ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FB363 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F8E60 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F9548 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5C5DBF ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C61637E ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B0285 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F9A24 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FAD9B ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B009E ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FB6FE ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5AE4D2 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C65707D ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5ABE88 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B6B27 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C6575E5 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C614507 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C61648C ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C656E69 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FA705 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C614563 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C613624 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5FB62B ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C656DDF ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5CA6EF ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B4627 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5B158F ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F9BC7 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5ABA03 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FB474 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5AC03A ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5B20F3 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C614CD0 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5ACC17 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F8307 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5CA197 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F9AD4 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C614270 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B4457 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F830D ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5CE137 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FA7EA ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C612B1C ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C6145CD ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C615275 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B6769 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FA1AF ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C6578AE ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F9528 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FA4E3 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FADDF ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5C4F16 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FA367 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5B43D1 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5FB53B ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FA6A5 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5C65D0 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B25C5 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5B002C ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5CD1FF ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5CD4B3 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5D32BD ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C6147AE ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5F8F60 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5B61D4 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5C6380 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5FB6C0 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C613DE7 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F9A03 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C657392 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FAA2B ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5F9AA6 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C5FAA2A ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5F8926 ,CombinedSock_abvMCN,754.090,2006,1,0,0,0
2009,3,,3D9.257C5FAFD7 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
2009,3,,3D9.257C656787 ,CombinedSock_abvMCN,754.090,2006,1,0,0,1
