year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn
2009,,3D9.257C5FF522,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C5A32DE,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C59F4FB,UC_Sthd,2007,1,0,0,0
2009,,3D9.257C5AA5A4,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C5A7C66,UC_Sthd,2007,1,0,0,1
2009,,3D9.1BF26002A8,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C5A3475,UC_Sthd,2007,1,0,0,0
2009,,3D9.257C5F400E,UC_Sthd,2007,1,0,0,1
2009,,3D9.1C2C2CCDDA,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C6312D7,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C5F5AEC,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C5D1324,UC_Sthd,2007,1,0,0,1
2009,,3D9.1C2C4D6931,UC_Sthd,2007,1,0,0,1
2009,,3D9.1BF26D7934,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C5A3DD2,UC_Sthd,2007,1,0,0,0
2009,,3D9.1BF26D8CCC,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C5D18D4,UC_Sthd,2007,1,0,0,0
2009,,3D9.257C5C83D7,UC_Sthd,2007,1,0,0,1
2009,,3D9.1BF25D455C,UC_Sthd,2007,1,0,0,0
2009,,3D9.257C5C5A81,UC_Sthd,2007,1,0,0,1
2009,,3D9.1BF26D7866,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C5A8C65,UC_Sthd,2007,1,0,0,1
2009,,3D9.1BF26E00CD,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C5C01F0,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C5A0756,UC_Sthd,2007,1,0,0,0
2009,,3D9.257C5AE446,UC_Sthd,2007,1,0,0,0
2009,,3D9.1BF25D7A3B,UC_Sthd,2007,1,0,0,1
2009,,3D9.1BF25D905B,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C5D4C04,UC_Sthd,2007,1,0,0,1
2009,,3D9.1BF26AFA8E,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C5AD9BE,UC_Sthd,2007,1,0,0,0
2009,,3D9.1BF26DDC91,UC_Sthd,2007,1,0,0,1
2009,,3D9.1BF1A6F46B,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C61EFDD,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C59F31B,UC_Sthd,2007,1,0,0,0
2009,,3D9.1C2C31BDF8,UC_Sthd,2007,1,0,0,1
2009,,3D9.257C5AE340,UC_Sthd,2007,1,0,0,1
2009,,3D9.1BF26B1AFC,UC_Sthd,2007,1,0,0,0
