year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2011,,3D9.1C2C448DC0,UC_Ch1,2008,1,0,0,0,0,0,0,0
2019,,3DD.00779F8B56,UC_Ch1,2017,1,1,1,1,0,0,0,0
2009,,3D9.1BF2606802,UC_Ch1,2007,1,0,0,1,0,0,0,0
2006,,3D9.1BF1998368,UC_Ch1,2004,1,0,0,1,0,0,0,0
2024,,3DD.003E10AB9F,UC_Ch1,2022,1,1,1,1,0,0,0,0
2022,,3DD.003D320BBF,UC_Ch1,2019,1,1,1,1,0,0,0,0
2017,,3DD.007754AD1D,UC_Ch1,2015,1,1,0,1,0,0,0,0
2012,,3D9.1C2D7C1FA0,UC_Ch1,2010,1,0,0,1,0,0,0,0
2009,,3D9.1BF201F950,UC_Ch1,2006,1,0,0,1,0,0,0,0
2011,,3D9.257C5C8F6A,UC_Ch1,2008,1,0,0,1,0,0,0,0
2013,,3D9.1C2D09B91D,UC_Ch1,2010,1,1,0,0,0,0,0,0
2021,,3DD.0077972307,UC_Ch1,2018,1,1,0,0,0,0,0,0
2015,,3D9.1C2DE83297,UC_Ch1,2013,1,1,0,1,0,0,0,0
2012,,3D9.1C2D718594,UC_Ch1,2010,1,0,0,0,0,0,0,0
2017,,3DD.007739C60D,UC_Ch1,2015,1,0,0,0,0,0,0,0
2005,,3D9.1BF1467C01,UC_Ch1,2003,1,0,0,1,0,0,0,0
2023,,3DD.003DE658C5,UC_Ch1,2021,1,1,1,1,0,0,0,0
2023,,3DD.003D3224D9,UC_Ch1,2020,1,1,1,1,0,0,0,0
2021,,3DD.003C058B71,UC_Ch1,2019,1,1,1,1,0,0,0,0
2023,,3DD.003DE630D7,UC_Ch1,2021,1,1,1,1,0,0,0,0
2000,,5143531661,UC_Ch1,1998,1,0,0,0,0,0,0,0
2006,,3D9.1BF14BF3A7,UC_Ch1,2003,1,0,0,1,0,0,0,0
2018,,3DD.00778F1769,UC_Ch1,2016,1,0,0,0,0,0,0,0
2013,,3D9.1C2D2535AB,UC_Ch1,2010,1,1,0,1,0,0,0,0
2021,,3DD.007780BB51,UC_Ch1,2018,1,1,1,1,0,0,0,0
2021,,3DD.003BC6C54D,UC_Ch1,2019,1,1,1,1,0,0,0,0
2013,,3D9.1C2D8DCF09,UC_Ch1,2011,1,1,0,1,0,0,0,0
2005,,3D9.1BF111A503,UC_Ch1,2003,1,0,0,0,0,0,0,0
